Date,Name,close,high,low,netForeign,open,value,volume
07-13-2009,MiningAndOil,5941.77,5941.77,5864.42,-58022000.0,5915.52,0.0,191585000.0
07-13-2009,All Shares,1594.65,1601.95,1591.59,0.0,1598.77,0.0,0.0
07-13-2009,PSEi,2483.39,2500.36,2480.89,-237172000.0,2491.1,0.0,1983096000.0
07-14-2009,Financials,551.55,561.51,550.85,23522000.0,558.1,0.0,329684000.0
07-14-2009,Industrials,3556.17,3622.72,3538.41,27262000.0,3621.06,0.0,20550679000.0
07-14-2009,HoldingFirms,1355.36,1360.2,1340.73,-16465000.0,1357.42,0.0,404918000.0
07-14-2009,Property,822.4,832.02,819.95,-26659000.0,825.69,0.0,268931000.0
07-14-2009,Services,1329.22,1332.3,1322.11,-54133000.0,1322.11,0.0,917237000.0
07-14-2009,MiningAndOil,6335.3,6335.3,5945.72,-8054000.0,5946.71,0.0,222635000.0
07-14-2009,All Shares,1597.19,1606.85,1593.22,0.0,1603.61,0.0,0.0
07-14-2009,PSEi,2492.3,2513.79,2483.6,-64220000.0,2503.82,0.0,22694086000.0
07-15-2009,Financials,558.27,561.86,551.55,-141529000.0,551.55,0.0,451309000.0
07-15-2009,Industrials,3595.04,3609.59,3556.17,-31884000.0,3556.17,0.0,911032000.0
07-15-2009,HoldingFirms,1365.63,1365.63,1350.08,-200656000.0,1355.36,0.0,725664000.0
07-15-2009,Property,835.21,841.34,821.97,-157180000.0,822.4,0.0,806147000.0
07-15-2009,Services,1337.58,1340.71,1329.22,-64663000.0,1329.22,0.0,617085000.0
07-15-2009,MiningAndOil,6433.92,6458.03,6312.44,52610000.0,6335.3,0.0,362816000.0
07-15-2009,All Shares,1603.28,1605.36,1595.82,0.0,1597.19,0.0,0.0
07-15-2009,PSEi,2515.95,2521.9,2499.65,-542881000.0,2502.92,0.0,3874055000.0
07-16-2009,Financials,566.61,571.1,563.69,-5991000.0,563.69,0.0,541942000.0
07-16-2009,Industrials,3674.92,3679.0,3633.9,216321000.0,3649.82,0.0,796817000.0
07-16-2009,HoldingFirms,1394.94,1403.59,1390.23,53518000.0,1395.71,0.0,674017000.0
07-16-2009,Property,856.75,863.81,851.09,-6953000.0,851.09,0.0,640928000.0
07-16-2009,Services,1338.39,1347.79,1338.39,30242000.0,1339.58,0.0,811919000.0
07-16-2009,MiningAndOil,6474.11,6590.14,6418.95,-25851000.0,6483.85,0.0,246601000.0
07-16-2009,All Shares,1627.4,1629.47,1617.36,0.0,1617.36,0.0,0.0
07-16-2009,PSEi,2553.96,2560.1,2546.13,262151000.0,2546.13,0.0,3712227000.0
07-20-2009,Financials,570.65,572.44,563.95,-123291000.0,567.94,0.0,330984000.0
07-20-2009,Industrials,3743.87,3752.23,3705.34,94010000.0,3705.34,0.0,744342000.0
07-20-2009,HoldingFirms,1418.76,1426.81,1402.06,13359000.0,1402.06,0.0,446898000.0
07-20-2009,Property,880.16,882.61,870.54,72088000.0,870.54,0.0,645099000.0
07-20-2009,Services,1346.2,1349.09,1338.05,-11324000.0,1338.05,0.0,1038536000.0
07-20-2009,MiningAndOil,6478.68,6590.76,6426.38,-11160000.0,6484.02,0.0,326780000.0
07-20-2009,All Shares,1646.84,1646.84,1632.61,0.0,1632.61,0.0,0.0
07-20-2009,PSEi,2587.91,2593.75,2562.54,13375000.0,2562.54,0.0,3532642000.0
07-21-2009,Financials,572.19,576.11,570.17,-23498000.0,572.39,0.0,419458000.0
07-21-2009,Industrials,3791.64,3797.95,3717.41,232995000.0,3763.02,0.0,1004628000.0
07-21-2009,HoldingFirms,1421.98,1438.94,1421.33,31518000.0,1421.33,0.0,384364000.0
07-21-2009,Property,877.81,894.71,876.27,69143000.0,889.41,0.0,545477000.0
07-21-2009,Services,1337.83,1349.58,1335.36,-60367000.0,1347.25,0.0,868617000.0
07-21-2009,MiningAndOil,6595.04,6598.99,6399.19,164613000.0,6504.07,0.0,454939000.0
07-21-2009,All Shares,1656.29,1659.34,1649.99,0.0,1651.27,0.0,0.0
07-21-2009,PSEi,2593.51,2609.44,2580.45,415014000.0,2597.96,0.0,3677486000.0
07-22-2009,Financials,571.37,573.74,567.98,-38360000.0,573.56,0.0,237060000.0
07-22-2009,Industrials,3871.53,3879.29,3814.09,342557000.0,3814.09,0.0,966479000.0
07-22-2009,HoldingFirms,1434.67,1437.55,1419.48,-9391000.0,1434.17,0.0,344749000.0
07-22-2009,Property,878.43,886.58,877.12,-73023000.0,879.19,0.0,361881000.0
07-22-2009,Services,1337.46,1337.66,1332.75,20639000.0,1336.05,0.0,454774000.0
07-22-2009,MiningAndOil,6880.68,6880.68,6703.68,-18348000.0,6711.23,0.0,445267000.0
07-22-2009,All Shares,1664.61,1666.08,1656.85,0.0,1660.86,0.0,0.0
07-22-2009,PSEi,2612.38,2614.53,2594.14,162371000.0,2602.73,0.0,2810212000.0
07-23-2009,Financials,568.87,573.01,563.59,-37344000.0,573.01,0.0,220372000.0
07-23-2009,Industrials,3901.53,3901.53,3827.58,128259000.0,3871.4,0.0,1084954000.0
07-23-2009,HoldingFirms,1429.35,1440.16,1415.54,-116157000.0,1435.14,0.0,480642000.0
07-23-2009,Property,882.87,889.21,872.96,58054000.0,879.55,0.0,458883000.0
07-23-2009,Services,1337.11,1341.26,1334.93,-133819000.0,1336.47,0.0,828738000.0
07-23-2009,MiningAndOil,6846.9,6932.53,6764.34,18552000.0,6883.03,0.0,243700000.0
07-23-2009,All Shares,1666.05,1668.15,1656.8,0.0,1665.15,0.0,0.0
07-23-2009,PSEi,2612.0,2616.34,2591.42,-81531000.0,2611.84,0.0,3317291000.0
07-24-2009,Financials,579.36,581.49,571.74,36399000.0,574.38,0.0,412286000.0
07-24-2009,Industrials,4021.75,4021.75,3930.68,102681000.0,3930.68,0.0,1278115000.0
07-24-2009,HoldingFirms,1466.22,1471.96,1445.39,1259000.0,1447.95,0.0,668093000.0
07-24-2009,Property,915.13,915.13,896.98,194160000.0,896.98,0.0,827850000.0
07-24-2009,Services,1360.1,1365.22,1342.06,100262000.0,1342.06,0.0,949481000.0
07-24-2009,MiningAndOil,6884.04,6898.2,6785.17,-40242000.0,6894.8,0.0,283366000.0
07-24-2009,All Shares,1699.64,1699.64,1677.43,0.0,1677.43,0.0,0.0
